country,year,sample,serial,hhwt,geo1_ca2011,pernum,perwt,age,sex,bplcountry,citizen,empstat,empstatd,labforce,occisco,occ,indgen,ind,incearn
124,2011,124201101,80406000,32.42,35,5,32.42,66,2,32040,4,3,300,1,3,35,114,18,6200
124,2011,124201101,80452000,32.03,35,1,32.03,54,2,24020,2,1,100,2,3,35,112,14,35000
124,2011,124201101,80466000,32,24,1,32,42,2,24020,2,1,100,2,3,35,112,14,22100
124,2011,124201101,80556000,31.89,47,2,31.89,36,2,24020,2,1,100,2,3,35,112,14,200
124,2011,124201101,80591000,31.96,24,1,31.96,27,2,33080,4,1,100,2,3,35,113,15,20100
124,2011,124201101,80591000,31.96,24,2,31.96,46,2,44999,4,1,100,2,3,35,112,14,24600
124,2011,124201101,80602000,32.1,59,2,32.1,38,2,24020,2,1,100,2,3,35,113,15,29400
124,2011,124201101,80672000,32.02,48,2,32.02,22,2,24020,2,1,100,2,3,35,113,15,10500
124,2011,124201101,80724000,31.96,24,1,31.96,31,2,24020,2,1,100,2,3,35,112,14,1800
124,2011,124201101,80824000,32.03,35,1,32.03,27,2,24020,2,1,100,2,3,35,112,14,0
124,2011,124201101,80889000,32.03,35,5,32.03,54,2,39999,4,1,100,2,3,35,114,18,22500
124,2011,124201101,80909000,32.02,48,2,32.02,53,2,24020,2,1,100,2,3,35,112,14,27800
124,2011,124201101,80912000,32.02,48,4,32.02,17,2,24020,2,1,100,2,3,35,113,15,5000
124,2011,124201101,80936000,32.03,35,2,32.03,46,2,42120,3,1,100,2,3,35,112,14,31900
124,2011,124201101,80938000,32.03,35,1,32.03,47,2,24020,2,1,100,2,3,35,113,15,3000
124,2011,124201101,80946000,32.03,35,1,32.03,30,2,24020,2,1,100,2,3,35,112,14,30400
124,2011,124201101,80982000,32.03,35,2,32.03,51,2,24020,2,1,100,2,3,35,112,14,35200
124,2011,124201101,80988000,32.03,35,2,32.03,38,2,24020,2,1,100,2,3,35,112,14,37200
124,2011,124201101,81025000,32.03,35,2,32.03,22,2,24020,2,1,100,2,3,35,114,18,9200
124,2011,124201101,81027000,32.02,48,1,32.02,56,2,24020,2,1,100,2,3,35,112,14,36400
124,2011,124201101,81091000,32.02,48,2,32.02,48,2,24020,2,1,100,2,3,35,112,14,21100
124,2011,124201101,81101000,48.16,13,2,48.16,70,2,24020,2,1,100,2,3,35,112,14,0
124,2011,124201101,81151000,32.04,12,1,32.04,25,2,41999,4,1,100,2,3,35,113,15,0
124,2011,124201101,81189000,68.67,10,2,68.67,47,2,24020,2,1,100,2,3,35,113,15,15200
124,2011,124201101,81194000,31.11,46,2,31.11,47,2,24020,2,1,100,2,3,35,112,14,20500
124,2011,124201101,81236000,32.03,35,1,32.03,52,2,24020,2,1,100,2,3,35,113,15,800
